,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
172,kaitangata,-46.28,169.85,7.78,82,99,2.68,NZ,1604770561
173,merauke,-8.47,140.33,25.6,82,87,4.89,ID,1604770449
174,aromashevo,56.86,68.64,2.75,88,100,3.85,RU,1604770561
175,pemangkat,1.17,108.97,25.69,86,100,2.81,ID,1604770562
176,ukwa,21.97,80.47,14.88,48,0,1.28,IN,1604770562
177,cabo san lucas,22.89,-109.91,28.33,74,75,1.5,MX,1604770562
178,cayenne,4.93,-52.33,29.0,89,42,7.35,GF,1604770379
179,yeppoon,-23.13,150.73,24.0,64,75,5.1,AU,1604770337
180,warri,5.52,5.75,25.51,87,100,3.3,NG,1604770562
181,nerja,36.76,-3.89,18.33,83,4,1.03,ES,1604770562
182,roebourne,-20.78,117.13,23.82,47,0,5.12,AU,1604770562
183,pedasi,7.53,-80.03,26.76,76,38,6.69,PA,1604770563
184,vostochnyy,55.82,37.87,21.7,75,0,5.0,RU,1604770563
185,acari,-15.43,-74.62,21.89,56,62,4.59,PE,1604770563
186,vao,-22.67,167.48,23.05,78,7,4.96,NC,1604770314
187,pacific grove,36.62,-121.92,12.78,76,75,2.6,US,1604770563
188,ilulissat,69.22,-51.1,-12.0,60,75,2.1,GL,1604770306
189,tasiilaq,65.61,-37.64,-2.0,92,90,2.6,GL,1604770309
190,ust-nera,64.57,143.2,-21.8,83,98,2.47,RU,1604770339
191,teya,60.38,92.63,3.52,88,100,4.64,RU,1604770564
192,vestmannaeyjar,63.44,-20.27,7.0,87,75,9.3,IS,1604770342
193,severo-yeniseyskiy,60.37,93.04,1.64,98,100,5.01,RU,1604770564
194,stornoway,58.21,-6.39,6.11,93,44,0.5,GB,1604770564
195,gejiu,23.31,103.16,8.81,100,0,1.34,CN,1604770564
196,jijiga,9.35,42.8,19.4,72,61,1.78,ET,1604770565
197,burnie,-41.07,145.92,9.44,71,0,1.34,AU,1604770565
198,surt,31.21,16.59,20.8,69,11,6.27,LY,1604770565
199,nishihara,26.18,127.76,25.0,100,1,2.1,JP,1604770565
200,yumen,40.28,97.2,-0.77,74,37,1.71,CN,1604770313
201,torbay,47.67,-52.73,11.11,93,90,12.3,CA,1604770314
202,sigiriya,7.95,80.74,23.73,91,54,1.14,LK,1604770565
203,nanortalik,60.14,-45.24,0.39,89,99,3.39,GL,1604770358
204,huruta,8.15,39.35,16.98,67,75,3.34,ET,1604770566
205,monrovia,6.3,-10.8,30.0,74,75,3.33,LR,1604770566
206,yarada,17.65,83.27,27.0,78,40,1.5,IN,1604770566
207,atambua,-9.11,124.89,23.9,70,80,1.05,ID,1604770566
208,nome,64.5,-165.41,3.0,86,90,5.7,US,1604770404
209,kaoma,-14.78,24.8,25.89,31,42,1.91,ZM,1604770566
210,vrangel,42.73,133.08,5.82,61,6,2.0,RU,1604770566
211,mahebourg,-20.41,57.7,23.0,78,40,3.6,MU,1604770323
212,yokadouma,3.52,15.05,22.14,91,90,0.71,CM,1604770567
213,uyovu,-3.28,31.53,20.81,80,52,2.51,TZ,1604770567
214,luau,-10.71,22.22,18.99,87,81,2.01,AO,1604770567
215,gat,31.61,34.76,20.56,73,100,2.29,IL,1604770360
216,santo antonio do ica,-3.1,-67.94,35.04,44,91,1.62,BR,1604770567
217,atar,20.52,-13.05,34.58,17,38,4.57,MR,1604770335
218,kupang,-10.17,123.58,26.6,75,24,1.35,ID,1604770411
219,hornepayne,49.21,-84.77,6.3,91,100,2.61,CA,1604770568
220,tubuala,9.52,-79.03,30.0,78,40,4.6,PA,1604770568
221,vardo,70.37,31.11,3.88,88,91,14.71,NO,1604770346
222,namibe,-15.2,12.15,21.82,68,17,5.85,AO,1604770346
223,castro,-24.79,-50.01,26.96,31,0,1.77,BR,1604770320
224,leningradskiy,69.38,178.42,-6.42,96,100,6.03,RU,1604770568
225,san pedro de uraba,8.28,-76.38,29.79,63,80,1.91,CO,1604770568
226,mayskiy,47.69,40.1,9.0,81,40,5.0,RU,1604770568
227,berlevag,70.86,29.09,4.0,80,90,11.3,NO,1604770368
228,maceio,-9.67,-35.74,30.0,70,75,8.7,BR,1604770393
229,lafiagi,8.87,5.42,28.2,30,27,0.43,NG,1604770569
230,thompson,55.74,-97.86,-9.0,92,90,1.5,CA,1604770182
231,olafsvik,64.89,-23.71,4.92,70,98,13.2,IS,1604770321
232,port elizabeth,-33.92,25.57,20.0,82,0,2.1,ZA,1604770312
233,great yarmouth,52.61,1.73,11.11,98,6,3.93,GB,1604770569
234,batagay,67.63,134.63,-32.49,84,65,0.4,RU,1604770330
235,ikornnes,62.39,6.56,7.78,93,100,0.89,NO,1604770569
236,vila velha,-20.33,-40.29,26.67,78,20,5.1,BR,1604770309
237,ishigaki,24.34,124.16,25.95,86,22,4.58,JP,1604770344
238,zhezkazgan,47.8,67.71,9.94,39,100,7.56,KZ,1604770367
239,morondava,-20.28,44.28,26.96,81,0,5.19,MG,1604770329
240,pisco,-13.7,-76.22,18.0,82,90,4.1,PE,1604770344
241,ribeira grande,38.52,-28.7,17.0,67,20,6.2,PT,1604770313
242,tuatapere,-46.13,167.68,7.78,79,92,3.13,NZ,1604770326
243,kimbe,-5.55,150.14,23.92,85,46,1.73,PG,1604770570
244,oeiras,-7.03,-42.13,32.91,46,80,2.04,BR,1604770570
245,saint-augustin,51.23,-58.65,1.83,77,37,8.84,CA,1604770350
246,polyarnyy,69.2,33.45,1.0,86,75,3.0,RU,1604770570
247,fort frances,48.6,-93.4,5.0,86,90,4.1,CA,1604770571
248,kavaratti,10.57,72.64,28.51,72,1,2.37,IN,1604770328
249,guacimo,10.21,-83.68,24.44,73,20,2.6,CR,1604770571
250,mehamn,71.04,27.85,4.0,80,90,11.3,NO,1604770309
251,coquimbo,-29.95,-71.34,16.0,72,75,3.1,CL,1604770318
252,pleasant point,-44.27,171.13,6.11,97,100,4.47,NZ,1604770571
253,ponta do sol,32.67,-17.1,21.0,60,40,4.1,PT,1604770318
254,fiumicino,41.77,12.23,17.22,100,0,1.0,IT,1604770571
255,la ronge,55.1,-105.28,-9.0,85,93,1.0,CA,1604770571
256,ponta delgada,37.73,-25.67,17.0,67,40,5.1,PT,1604770572
257,nova varos,43.46,19.81,4.0,60,0,1.25,RS,1604770572
258,verkhniy baskunchak,48.23,46.72,6.21,76,100,6.68,RU,1604770572
259,kampot,10.62,104.18,26.0,88,40,0.5,KH,1604770572
